ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_20_T1_3	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_20_T2_1	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_20_T2_2	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_20_T2_3	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_20_T3_1	MR_20	Saint_Marys	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_21_P2	MR_21	Saint_Simon_Stock	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2017	2013-2017
MR_5_T2_2	MR_5	Hansborough	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_5_T3_2	MR_5	Hansborough	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T1_2	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T2_2	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T2_3	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T3_1	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T3_2	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_6_T3_3	MR_6	Jackie_Robinson	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
MR_7_P2	MR_7	5Boro_Wildflower	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2009	2009-2012
MR_7_P6	MR_7	5Boro_Wildflower	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2009	2009-2012
MR_8_P1	MR_8	5Boro_Bioroof	Mixed_vegetation	Rudbeckia hirta	Rudbeckia	Asteraceae	Forb	2010	2009-2012
SR_1_T1_1	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T1_2	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T1_3	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T2_1	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T2_2	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T2_3	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T3_2	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_1_T3_3	SR_1	Columbia	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_10_T1_1	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T1_2	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T1_3	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T2_1	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T2_2	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T2_3	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T3_1	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T3_2	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_10_T3_3	SR_10	Silvercup	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T1_1	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T1_2	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T1_3	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T2_1	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T2_2	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T2_3	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T3_1	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T3_2	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_11_T3_3	SR_11	Bronx_Courthouse	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2006	2004-2008
SR_2_T1_1	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T1_2	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T1_3	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T2_1	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T2_2	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T2_3	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T3_1	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T3_2	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_2_T3_3	SR_2	FIT	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
